"response","cov","x","Det","DetLower","DetUpper"
"boom","doy",193,0.258630895770455,0.223723614553657,0.296901581102269
"boom","doy",194,0.260808399842059,0.224870696448526,0.300264651094193
"boom","doy",195,0.262997733464217,0.225982736083703,0.303696763282204
"boom","doy",196,0.265198851744637,0.227062162438528,0.307195144537428
"boom","doy",197,0.267411707786774,0.228111291242394,0.310757116755955
"boom","doy",198,0.269636252679043,0.229132313978585,0.314380107808307
"boom","doy",199,0.271872435484609,0.230127291977451,0.318061657418314
"boom","doy",200,0.274120203231772,0.231098154522199,0.32179941904859
"boom","doy",201,0.276379500904942,0.232046700017417,0.325591158742928
"boom","doy",202,0.278650271436241,0.232974599412402,0.329434751733954
"boom","doy",203,0.280932455697726,0.233883401212551,0.333328177483162
"boom","doy",204,0.28322599249426,0.234774537542705,0.337269513689788
"boom","doy",205,0.285530818557029,0.235649330841961,0.341256929689332
"boom","doy",206,0.287846868537738,0.236509000868052,0.345288679563873
"boom","doy",207,0.290174075003473,0.237354671770643,0.349363095205122
"boom","doy",208,0.292512368432262,0.238187379059317,0.353478579504581
"boom","doy",209,0.294861677209335,0.239008076343999,0.357633599793262
"boom","doy",210,0.297221927624102,0.239817641766431,0.361826681612459
"boom","doy",211,0.299593043867852,0.240616884072392,0.366056402865933
"boom","doy",212,0.301974948032192,0.241406548297593,0.370321388380646
"call","s2n2",0.327629050290501,0.0148942423917038,0.000313879129506539,0.421319292849028
"call","s2n2",0.377629050290501,0.0216491776245657,0.000623442086219121,0.439751496089329
"call","s2n2",0.427629050290501,0.0307804285860001,0.00119858827113917,0.45665588925888
"call","s2n2",0.477629050290501,0.0427822289109241,0.00222989088666851,0.471967927674902
"call","s2n2",0.527629050290501,0.0580969701530276,0.00401315578447995,0.485648570261818
"call","s2n2",0.577629050290501,0.0770404911586452,0.00698327376829081,0.497680325827143
